Date,Price,Open,High,Low,Change %
"Feb 15, 2019",96.9,97.06,97.37,96.83,-0.08%
"Feb 18, 2019",96.9,96.81,96.9,96.65,0.00%
"Feb 19, 2019",96.52,96.81,97.08,96.43,-0.39%
"Feb 20, 2019",96.45,96.53,96.65,96.29,-0.07%
"Feb 21, 2019",96.61,96.49,96.66,96.36,0.17%
"Feb 22, 2019",96.51,96.59,96.78,96.42,-0.10%
"Feb 25, 2019",96.41,96.52,96.6,96.32,-0.10%
"Feb 26, 2019",96,96.39,96.46,95.95,-0.43%
"Feb 27, 2019",96.15,96.06,96.19,95.88,0.16%
"Feb 28, 2019",96.16,96.09,96.28,95.82,0.01%
"Mar 01, 2019",96.53,96.22,96.55,96.07,0.38%
"Mar 04, 2019",96.68,96.34,96.82,96.33,0.16%
"Mar 05, 2019",96.87,96.67,97.01,96.66,0.20%
"Mar 06, 2019",96.87,96.9,96.99,96.78,0.00%
"Mar 07, 2019",97.67,96.83,97.71,96.81,0.83%
"Mar 08, 2019",97.31,97.61,97.64,97.25,-0.37%
"Mar 11, 2019",97.22,97.39,97.45,96.92,-0.09%
"Mar 12, 2019",96.94,97.05,97.28,96.86,-0.29%
"Mar 13, 2019",96.55,97.01,97.02,96.39,-0.40%
"Mar 14, 2019",96.78,96.49,96.82,96.47,0.24%
"Mar 15, 2019",96.59,96.72,96.79,96.49,-0.20%
"Mar 18, 2019",96.52,96.56,96.63,96.38,-0.07%
"Mar 19, 2019",96.38,96.51,96.52,96.29,-0.15%
"Mar 20, 2019",95.76,96.4,96.57,95.74,-0.64%
"Mar 21, 2019",96.5,95.91,96.62,95.84,0.77%
"Mar 22, 2019",96.65,96.32,96.81,96.21,0.16%
"Mar 25, 2019",96.57,96.64,96.68,96.41,-0.08%
"Mar 26, 2019",96.74,96.5,96.84,96.45,0.18%
"Mar 27, 2019",96.77,96.75,96.98,96.68,0.03%
"Mar 28, 2019",97.2,96.97,97.3,96.82,0.44%
"Mar 29, 2019",97.28,97.2,97.34,97,0.08%
"Apr 01, 2019",97.23,97.18,97.39,97.03,-0.05%
"Apr 02, 2019",97.36,97.33,97.52,97.27,0.13%
"Apr 03, 2019",97.09,97.3,97.32,96.96,-0.28%
"Apr 04, 2019",97.31,97.04,97.34,97.02,0.23%
"Apr 05, 2019",97.39,97.3,97.47,97.19,0.08%
"Apr 08, 2019",97.05,97.39,97.4,96.98,-0.35%
"Apr 09, 2019",97.01,97.08,97.08,96.86,-0.04%
"Apr 10, 2019",96.95,96.99,97.22,96.85,-0.06%
"Apr 11, 2019",97.18,96.89,97.19,96.88,0.24%
"Apr 12, 2019",96.97,97.14,97.18,96.75,-0.22%
"Apr 15, 2019",96.94,96.92,96.96,96.79,-0.03%
"Apr 16, 2019",97.04,96.93,97.09,96.88,0.10%
"Apr 17, 2019",97.01,97.07,97.12,96.82,-0.03%
"Apr 18, 2019",97.47,97.01,97.48,96.96,0.47%
"Apr 19, 2019",97.38,97.42,97.43,97.33,-0.09%
"Apr 22, 2019",97.29,97.38,97.41,97.26,-0.09%
"Apr 23, 2019",97.64,97.28,97.78,97.28,0.36%
"Apr 24, 2019",98.17,97.59,98.19,97.59,0.54%
"Apr 25, 2019",98.2,98.1,98.32,97.99,0.03%
"Apr 26, 2019",98.01,98.12,98.33,97.85,-0.19%
"Apr 29, 2019",97.86,98.03,98.1,97.83,-0.15%
"Apr 30, 2019",97.48,97.84,97.89,97.44,-0.39%
"May 01, 2019",97.69,97.53,97.73,97.15,0.22%
"May 02, 2019",97.83,97.63,97.85,97.51,0.14%
"May 03, 2019",97.52,97.83,98.1,97.41,-0.32%
"May 06, 2019",97.52,97.56,97.7,97.46,0.00%
"May 07, 2019",97.63,97.52,97.74,97.38,0.11%
"May 08, 2019",97.62,97.57,97.68,97.42,-0.01%
"May 09, 2019",97.37,97.58,97.7,97.24,-0.26%
"May 10, 2019",97.33,97.43,97.45,97.13,-0.04%
"May 13, 2019",97.32,97.3,97.38,97.03,-0.01%
"May 14, 2019",97.53,97.32,97.56,97.27,0.22%
"May 15, 2019",97.57,97.53,97.7,97.44,0.04%
"May 16, 2019",97.86,97.54,97.88,97.44,0.30%
"May 17, 2019",98,97.83,98.03,97.77,0.14%
"May 20, 2019",97.93,97.96,98.04,97.88,-0.07%
"May 21, 2019",98.06,97.92,98.13,97.82,0.13%
"May 22, 2019",98.04,98.02,98.12,97.89,-0.02%
"May 23, 2019",97.86,98.06,98.37,97.81,-0.18%
"May 24, 2019",97.61,97.83,97.91,97.55,-0.26%
"May 27, 2019",97.61,97.57,97.79,97.55,0.00%
"May 28, 2019",97.95,97.74,97.98,97.7,0.35%
"May 29, 2019",98.14,97.92,98.21,97.86,0.19%
"May 30, 2019",98.14,98.13,98.28,98.09,0.00%
"May 31, 2019",97.75,98.15,98.17,97.61,-0.40%
"Jun 03, 2019",97.14,97.64,97.8,97.11,-0.62%
"Jun 04, 2019",97.07,97.21,97.33,97,-0.07%
"Jun 05, 2019",97.32,97.12,97.37,96.75,0.26%
